,O,sO,aO,C,sC,aC,F,sF,aF,FO,FC,OC,InOr
4336,0.23535220430796516,0.23535220430796516,0.0,0.2661032860311247,0.2661032860311247,0.0,0.05291763744941573,0.0,0.05291763744941573,0.18356980087411737,0.16587513092270134,0.4693381742591298,0.05587437750071011
4337,0.23337228956502992,0.23337228956502992,0.0,0.2638646759415964,0.2638646759415964,0.0,0.05968323105748665,0.0,0.05968323105748665,0.20365844305101605,0.18446489612944952,0.4693381742591298,0.06347140987882925
4338,0.23102860631488126,0.23102860631488126,0.0,0.2612147674093415,0.2612147674093415,0.0,0.06769186298122379,0.0,0.06769186298122379,0.22660604122888076,0.20580875156223524,0.4693381742591298,0.07260674909229126
4371,0.22018345709564915,0.22018345709564915,0.0,0.26427005080523513,0.26427005080523513,0.0,0.03910472097134839,0.0,0.03910472097134839,0.15081567259593345,0.1288990536106495,0.45449863300545473,0.040696131852035446
4383,0.2245744170537441,0.2245744170537441,0.0,0.26954019792035383,0.26954019792035383,0.0,0.02658970548780439,0.0,0.02658970548780439,0.10586585862161035,0.08979068031219928,0.45449863300545473,0.02731603069919172
4393,0.17743513403103034,0.17743513403103034,0.0,0.26930311817827457,0.26930311817827457,0.0,0.13938044732955188,0.12292729356002884,0.016453153769523027,0.43994189531643224,0.3410473507941505,0.3971791830082613,0.161953614575759
4403,0.17677586936801057,0.17677586936801057,0.0,0.2683025157303686,0.2683025157303686,0.0,0.1420473114532664,0.12247055413687372,0.019576757316392683,0.44553633486548144,0.34616149939231977,0.3971791830082613,0.16556543659053868
4413,0.17609272729626937,0.17609272729626937,0.0,0.2672656732184088,0.2672656732184088,0.0,0.14481076471372414,0.12199727241364157,0.02281349230008257,0.4512595478681001,0.35141724054985596,0.3971791830082613,0.1693318376081389
4423,0.1752533086765218,0.1752533086765218,0.0,0.2659916411447193,0.2659916411447193,0.0,0.14820638945649237,0.12141572209299639,0.026790667363495963,0.4581912068549153,0.3578152924613611,0.3971791830082613,0.17399330967266316
4433,0.17440304995667796,0.17440304995667796,0.0,0.26470115645146697,0.26470115645146697,0.0,0.15164586468248234,0.1208266617367879,0.030819202945694436,0.4651015779344319,0.3642294936312131,0.3971791830082613,0.17875302113748182
4443,0.17350515408853145,0.17350515408853145,0.0,0.2633383702230701,0.2633383702230701,0.0,0.15527804218555505,0.12020459830175999,0.03507344388379508,0.4722809557946788,0.37093156785736126,0.3971791830082613,0.18382148202623622
4453,0.17246003070341037,0.17246003070341037,0.0,0.2617521286479099,0.2617521286479099,0.0,0.15950578593852346,0.11948053544988554,0.040025250488637906,0.4804885863009509,0.3786416359562455,0.3971791830082613,0.18977618557033477
4463,0.17134571099315415,0.17134571099315415,0.0,0.26006086398232775,0.26006086398232775,0.0,0.1640134433700897,0.11870853329320762,0.045304910076882074,0.48906803716602515,0.38675637860274803,0.3971791830082613,0.19619148426414007
4473,0.17005777567850783,0.17005777567850783,0.0,0.25810609330999,0.25810609330999,0.0,0.16922341241129749,0.11781625001811415,0.05140716239318334,0.49877039562389547,0.3960021719671944,0.3971791830082613,0.20369304448318895
4483,0.16855163111801486,0.16855163111801486,0.0,0.2558201343944515,0.2558201343944515,0.0,0.17531608371436427,0.11677279109132019,0.0585432926230441,0.509835835562008,0.40663733722810486,0.3971791830082613,0.21258579226812785
4493,0.20730430811880288,0.20730430811880288,0.0,0.2773367774667357,0.2773367774667357,0.0,0.07493527000032646,0.060395596948803025,0.01453967305152343,0.26550234555940744,0.21271988663061037,0.4277481094454463,0.08100543407416787
